Genero,Titulo,Año,Duración,Calificación,Detalles
Acción,Capitán América: Un nuevo mundo,2025.0,1h 58m,6.1,https://www.imdb.com/es/title/tt14513804/?ref_=int_popm_i_1
Acción,La inmensidad,2025.0,2h 7m,6.8,https://www.imdb.com/es/title/tt13654226/?ref_=int_popm_i_2
Acción,Gladiador II,2013.0,2h 28,6.6,https://www.imdb.com/es/title/tt9218128/?ref_=int_popm_i_3
Acción,Amor explosivo,2025.0,1h 23m,5.4,https://www.imdb.com/es/title/tt30788842/?ref_=int_popm_i_4
Acción,Amenaza en el aire,2015.0,1h 31m,5.4,https://www.imdb.com/es/title/tt10078772/?ref_=int_popm_i_5
Aventura,The Witcher: Sirenas de las profundidades,2025.0,1h 31m,6.1,https://www.imdb.com/es/title/tt15495150/?ref_=int_popm_i_5
Aventura,Interestelar,2014.0,2h 49m,8.7,https://www.imdb.com/es/title/tt0816692/?ref_=int_popm_i_7
Aventura,Flow,2024.0,1h 25m,7.9,https://www.imdb.com/es/title/tt4772188/?ref_=int_popm_i_8
Aventura,Moana 2,2024.0,1h 40m,6.8,https://www.imdb.com/es/title/tt13622970/?ref_=int_popm_i_10
Aventura,Mufasa: El rey león,2024.0,1h 58m,6.7,https://www.imdb.com/es/title/tt13186482/?ref_=int_popm_i_12
Acción,Sonic 3: La película,2024.0,1h 50m,7.0,https://www.imdb.com/es/title/tt18259086/?ref_=int_popm_i_6
B,Godzilla,2024.0,2h 3m,4.0,https://www.imdb.com/es/title/tt0831387/?ref_=ls_t_1
